traj_id,task,agent,model,reward,n_steps,placeholder_frac,max_msg_repeat_frac,no_tool_frac,exclude
fix-git__9nMpRbE,fix-git,claude-code,claude-opus-4-5-20251101@anthropic,0,11,0.0,0.182,0.636,True
crack-7z-hash__LSnrZu2,crack-7z-hash,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,191,0.042,0.11,0.005,False
code-from-image__LDDs28r,code-from-image,claude-code,claude-opus-4-5-20251101@anthropic,1,11,0.091,0.182,0.727,True
custom-memory-heap-crash__AvTKpz3,custom-memory-heap-crash,terminus-3-3,claude-opus-4-6@anthropic,1,19,0.737,1.0,0.053,True
db-wal-recovery__Jy3gno4,db-wal-recovery,openhands,claude-opus-4-5-20251101@anthropic,1,10,0.2,0.1,0.1,True
cobol-modernization__dXeVcWb,cobol-modernization,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,25,0.04,0.04,0.04,True
custom-memory-heap-crash__rLYBAjw,custom-memory-heap-crash,claude-code,claude-sonnet-4-5-20250929@anthropic,1,78,0.321,0.026,0.462,False
gcode-to-text__RQc5W4H,gcode-to-text,codex,gpt-5-codex@openai,0,36,0.361,0.028,0.083,False
compile-compcert__FaT8w3T,compile-compcert,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,65,0.415,0.015,0.015,False
code-from-image__RHRbvFH,code-from-image,deepagent-harbor,gpt-5.2-codex@openai,1,6,0.167,0.333,0.5,True
build-cython-ext__8fqEqmK,build-cython-ext,gemini-cli,gemini-2.5-flash@gemini,0,44,0.5,0.5,0.045,True
financial-document-processor__yCjHgFw,financial-document-processor,terminus-3-3,claude-opus-4-6@anthropic,1,26,0.423,1.0,0.038,True
large-scale-text-editing__vJGsB5z,large-scale-text-editing,codex,gpt-5-mini@openai,1,36,0.194,0.028,0.167,False
configure-git-webserver__4nvYHWL,configure-git-webserver,gemini-cli,gemini-2.5-pro@gemini,1,19,0.158,0.053,0.105,True
db-wal-recovery__4WJjYB4,db-wal-recovery,claude-code,claude-opus-4-5-20251101@anthropic,0,166,0.127,0.012,0.337,False
gpt2-codegolf__q3PWYbW,gpt2-codegolf,terminus-3-3,claude-opus-4-6@anthropic,0,35,0.686,1.0,0.029,True
llm-inference-batching-scheduler__bJFuX7f,llm-inference-batching-scheduler,judy,claude-opus-4.6@anthropic,1,33,0.182,0.083,0.242,False
llm-inference-batching-scheduler__usVZXDK,llm-inference-batching-scheduler,deepagent-harbor,gpt-5.2-codex@openai,1,28,0.214,0.333,0.107,True
break-filter-js-from-html__A9r3iEU,break-filter-js-from-html,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,166,0.006,0.108,0.03,False
git-multibranch__fRT6heh,git-multibranch,openhands,gemini-2.5-flash@gemini,1,167,0.018,0.239,0.251,False
fix-ocaml-gc__Gqwg7Gg,fix-ocaml-gc,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,113,0.239,0.009,0.009,False
llm-inference-batching-scheduler__BFaHAUF,llm-inference-batching-scheduler,codex,gpt-5@openai,0,81,0.086,0.012,0.062,False
install-windows-3.11__9uxafVL,install-windows-3.11,terminus-3-3,gemini-3.1-pro-preview@Google,0,24,0.542,1.0,0.042,True
mailman__xfoJqnM,mailman,deepagent-harbor,gpt-5.2-codex@openai,1,79,0.43,0.333,0.038,False
compile-compcert__CdECuqc,compile-compcert,gemini-cli,gemini-2.5-flash@gemini,0,71,0.38,0.5,0.028,True
build-pov-ray__oboi8x8,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,1,35,0.343,0.029,0.057,False
fix-code-vulnerability__RtkoFje,fix-code-vulnerability,claude-code,claude-sonnet-4-5-20250929@anthropic,1,193,0.368,0.01,0.358,False
dna-assembly__ttn6Ddy,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,48,0.104,0.333,0.062,False
cancel-async-tasks__Ck2wUpL,cancel-async-tasks,deepagent-harbor,gpt-5.2-codex@openai,0,9,0.222,0.333,0.333,True
gpt2-codegolf__wtmReGP,gpt2-codegolf,judy,claude-opus-4.6@anthropic,0,36,0.306,0.067,0.139,False
fix-ocaml-gc__JUXCMNB,fix-ocaml-gc,terminus-3-3,claude-opus-4-6@anthropic,1,68,0.162,1.0,0.015,True
install-windows-3.11__Q2DQACq,install-windows-3.11,terminus-3-3,gemini-3.1-pro-preview@Google,0,87,0.218,0.5,0.023,True
gpt2-codegolf__48Wzr4V,gpt2-codegolf,judy,claude-opus-4.6@anthropic,0,22,0.318,0.333,0.136,True
fix-ocaml-gc__xqxpeKu,fix-ocaml-gc,codex,gpt-5-mini@openai,1,76,0.566,0.013,0.079,True
build-cython-ext__j3K94v3,build-cython-ext,judy,claude-opus-4.6@anthropic,1,65,0.138,0.021,0.185,False
compile-compcert__mJdQQEB,compile-compcert,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,182,0.121,0.005,0.005,False
dna-insert__kir6Rff,dna-insert,terminus-2,grok-code-fast-1@xai,0,4,0.5,0.25,0.25,True
fix-git__qJBZq6W,fix-git,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,23,0.0,0.043,0.043,True
configure-git-webserver__t3CqgdY,configure-git-webserver,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,13,0.0,0.077,0.077,True
dna-insert__d6hAHJU,dna-insert,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,33,0.455,0.03,0.03,False
kv-store-grpc__FzjoxkQ,kv-store-grpc,openhands,claude-sonnet-4-5-20250929@anthropic,0,80,0.05,0.092,0.013,False
extract-elf__uKE47C8,extract-elf,mini-swe-agent,gpt-5-mini@openai,1,5,0.0,0.2,0.2,True
financial-document-processor__7jEx4oJ,financial-document-processor,openhands,claude-haiku-4-5-20251001@anthropic,0,50,0.14,0.08,0.22,False
fix-code-vulnerability__3GZtrnr,fix-code-vulnerability,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,100,0.0,0.01,0.01,False
adaptive-rejection-sampler__yrzUP4g,adaptive-rejection-sampler,terminus-2,claude-sonnet-4-5-20250929@anthropic,1,41,0.512,0.024,0.024,True
chess-best-move__dy5Hwq6,chess-best-move,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,49,0.082,0.02,0.02,False
git-leak-recovery__3MYVn6Q,git-leak-recovery,openhands,gemini-2.5-flash@gemini,1,46,0.043,0.043,0.022,False
feal-linear-cryptanalysis__ijxPyaB,feal-linear-cryptanalysis,codex,gpt-5-nano@openai,0,17,0.118,0.059,0.294,True
build-pov-ray__3qQNiWN,build-pov-ray,openhands,claude-haiku-4-5-20251001@anthropic,0,338,0.047,0.121,0.328,False
adaptive-rejection-sampler__VuDGzQo,adaptive-rejection-sampler,openhands,claude-opus-4-5-20251101@anthropic,0,9,0.0,0.333,0.111,True
git-leak-recovery__zZ3YESN,git-leak-recovery,claude-code,claude-opus-4-6@anthropic,1,29,0.138,0.034,0.345,True
hf-model-inference__sddpRPD,hf-model-inference,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,70,0.0,0.03,0.014,False
hf-model-inference__qeFboqF,hf-model-inference,gemini-cli,gemini-2.5-pro@gemini,0,21,0.048,0.048,0.095,True
count-dataset-tokens__FC2ZfCe,count-dataset-tokens,claude-code,claude-haiku-4-5-20251001@anthropic,0,53,0.151,0.038,0.547,False
make-doom-for-mips__ygjHLiQ,make-doom-for-mips,claude-code,minimax-m2.1@minimax,0,106,0.594,0.019,0.245,True
hf-model-inference__SKW9cJZ,hf-model-inference,codex,gpt-5@openai,1,17,0.059,0.059,0.294,True
fix-ocaml-gc__qKTBdQZ,fix-ocaml-gc,mini-swe-agent,gpt-5-mini@openai,0,88,0.523,0.011,0.011,True
filter-js-from-html__iabJ6xS,filter-js-from-html,claude-code,claude-sonnet-4-5-20250929@anthropic,0,19,0.263,0.105,0.579,True
feal-linear-cryptanalysis__WkuvD4Z,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,201,0.005,0.115,0.995,False
log-summary-date-ranges__CyGeikq,log-summary-date-ranges,claude-code,minimax-m2.1@minimax,1,10,0.3,0.2,0.6,True
git-multibranch__WgHwS4R,git-multibranch,terminus-3-3,gemini-3.1-pro-preview@Google,1,6,0.667,1.0,0.167,True
constraints-scheduling__SZ4BvvZ,constraints-scheduling,openhands,claude-opus-4-5-20251101@anthropic,1,9,0.333,0.111,0.111,True
financial-document-processor__KeWgYGp,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,51,0.118,0.02,0.02,False
cobol-modernization__JRpmEdo,cobol-modernization,claude-code,claude-opus-4-6@anthropic,1,91,0.11,0.011,0.374,False
mailman__HAfXHmg,mailman,codex,gpt-5@openai,0,41,0.463,0.024,0.098,False
fix-git__vkW2Esz,fix-git,terminus-2,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,68,0.0,0.5,0.015,True
kv-store-grpc__tR4fwYp,kv-store-grpc,deepagent-harbor,gpt-5.2-codex@openai,1,11,0.091,0.333,0.273,True
bn-fit-modify__jXVPDHT,bn-fit-modify,gemini-cli,gemini-2.5-pro@gemini,0,45,0.267,0.089,0.044,False
financial-document-processor__YQNszv5,financial-document-processor,terminus-3-3,claude-opus-4-6@anthropic,1,38,0.395,1.0,0.026,True
compile-compcert__PdkzfMV,compile-compcert,codex,gpt-5-codex@openai,1,55,0.273,0.018,0.055,False
code-from-image__uCLg34G,code-from-image,gemini-cli,gemini-2.5-flash@gemini,1,8,0.0,0.25,0.375,True
custom-memory-heap-crash__T5zsmVD,custom-memory-heap-crash,claude-code,claude-haiku-4-5-20251001@anthropic,0,266,0.248,0.008,0.485,False
financial-document-processor__SFeTEML,financial-document-processor,terminus-3-3,gemini-3.1-pro-preview@Google,0,28,0.536,1.0,0.036,True
distribution-search__A9tjXFi,distribution-search,judy,claude-opus-4.6@anthropic,1,32,0.094,0.048,0.312,False
build-pov-ray__wRjcSGh,build-pov-ray,deepagent-harbor,gpt-5.2-codex@openai,1,33,0.394,0.333,0.091,False
hf-model-inference__eDBNM6E,hf-model-inference,mini-swe-agent,gemini-2.5-flash@gemini,0,192,0.021,0.036,0.005,False
fix-ocaml-gc__HJaSBgB,fix-ocaml-gc,openhands,claude-opus-4-1-20250805@anthropic,1,176,0.091,0.054,0.006,False
code-from-image__KMefhJE,code-from-image,mini-swe-agent,gpt-5-codex@openai,1,67,0.328,0.015,0.015,False
make-doom-for-mips__7QckTNB,make-doom-for-mips,codex,gpt-5@openai,0,93,0.495,0.011,0.032,False
caffe-cifar-10__CZHBZfM,caffe-cifar-10,terminus-3-3,gemini-3.1-pro-preview@Google,0,9,0.778,1.0,0.111,True
build-pmars__Xa64HnN,build-pmars,deepagent-harbor,gpt-5.2-codex@openai,1,73,0.301,0.333,0.041,False
llm-inference-batching-scheduler__UcGcXiW,llm-inference-batching-scheduler,gemini-cli,gemini-2.5-flash@gemini,0,60,0.317,0.5,0.033,True
compile-compcert__o9e9qCK,compile-compcert,gemini-cli,gemini-2.5-pro@gemini,1,38,0.526,0.054,0.053,True
cobol-modernization__auw5kEh,cobol-modernization,claude-code,claude-sonnet-4-5-20250929@anthropic,1,159,0.094,0.013,0.34,False
dna-insert__bitPHQK,dna-insert,deepagent-harbor,gpt-5.2-codex@openai,0,36,0.111,0.333,0.083,False
bn-fit-modify__YUhwrEE,bn-fit-modify,deepagent-harbor,gpt-5.2-codex@openai,0,24,0.0,0.333,0.125,True
caffe-cifar-10__zjg6gBb,caffe-cifar-10,judy,claude-opus-4.6@anthropic,0,49,0.041,0.029,0.204,False
fix-ocaml-gc__byUxzen,fix-ocaml-gc,terminus-3-3,claude-opus-4-6@anthropic,1,74,0.23,1.0,0.014,True
extract-moves-from-video__vRcGj7U,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,105,0.276,0.333,0.029,False
financial-document-processor__52VSduJ,financial-document-processor,judy,claude-opus-4.6@anthropic,0,7,0.0,0.2,0.429,True
compile-compcert__jpuCL5f,compile-compcert,codex,gpt-5-codex@openai,1,62,0.323,0.016,0.048,False
build-cython-ext__SWCC72H,build-cython-ext,judy,claude-opus-4.6@anthropic,1,79,0.139,0.015,0.228,False
feal-linear-cryptanalysis__hvwUbzu,feal-linear-cryptanalysis,terminus-2,gpt-5-mini@openai,0,24,0.625,0.042,0.333,True
crack-7z-hash__UQ9734w,crack-7z-hash,terminus-2,claude-opus-4-1-20250805@anthropic,1,17,0.294,0.059,0.059,True
install-windows-3.11__WKr8Czz,install-windows-3.11,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,11,0.273,0.091,0.091,True
crack-7z-hash__t4xtq6w,crack-7z-hash,terminus-2,gemini-3-pro-preview@gemini,0,45,0.2,0.022,0.022,False
git-leak-recovery__TYLbSLM,git-leak-recovery,openhands,gpt-5-nano@openai,0,129,0.054,0.016,0.008,False
constraints-scheduling__D2g29ZL,constraints-scheduling,mini-swe-agent,gemini-2.5-pro@gemini,1,6,0.0,0.167,0.167,True
gcode-to-text__gCmEAvy,gcode-to-text,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,43,0.0,0.143,0.047,False
feal-linear-cryptanalysis__YsdN5aD,feal-linear-cryptanalysis,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,73,0.0,0.014,0.014,False
custom-memory-heap-crash__upAHMf8,custom-memory-heap-crash,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,28,0.179,0.036,0.036,True
feal-linear-cryptanalysis__WB9BNiC,feal-linear-cryptanalysis,mini-swe-agent,grok-code-fast-1@xai,0,44,0.182,0.023,0.023,False
log-summary-date-ranges__ZThmVqy,log-summary-date-ranges,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,38,0.053,0.054,0.026,False
caffe-cifar-10__w8hsnPL,caffe-cifar-10,codex,gpt-5-mini@openai,0,7,0.143,0.143,0.571,True
large-scale-text-editing__HXoerqR,large-scale-text-editing,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,195,0.0,0.211,0.005,False
distribution-search__dzpCXfN,distribution-search,openhands,claude-opus-4-5-20251101@anthropic,0,13,0.077,0.308,0.077,True
configure-git-webserver__DhcZ6Nb,configure-git-webserver,claude-code,claude-opus-4-6@anthropic,1,41,0.244,0.024,0.268,False
git-multibranch__L2zct46,git-multibranch,openhands,claude-opus-4-1-20250805@anthropic,1,108,0.028,0.096,0.009,False
break-filter-js-from-html__VuGe3hQ,break-filter-js-from-html,gemini-cli,gemini-2.5-flash@gemini,0,6,0.0,0.5,0.333,True
extract-elf__amPqMTw,extract-elf,claude-code,claude-opus-4-6@anthropic,0,26,0.231,0.038,0.385,True
financial-document-processor__w7XM5qk,financial-document-processor,claude-code,minimax-m2.1@minimax,0,124,0.194,0.016,0.04,False
code-from-image__bCAv9EK,code-from-image,codex,gpt-5-codex@openai,1,8,0.0,0.125,0.375,True
financial-document-processor__yFUb7zw,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,64,0.109,0.016,0.016,False
feal-linear-cryptanalysis__n89xhn5,feal-linear-cryptanalysis,claude-code,claude-opus-4-5-20251101@anthropic,0,16,0.312,0.125,0.438,True
fix-ocaml-gc__mqn9JLi,fix-ocaml-gc,terminus-2,openai/gpt-oss-20b@together_ai,0,201,0.0,0.052,0.995,False
code-from-image__htPAsni,code-from-image,claude-code,claude-opus-4-5-20251101@anthropic,1,11,0.091,0.182,0.727,True
feal-differential-cryptanalysis__wkv3qPV,feal-differential-cryptanalysis,terminus-3-3,gemini-3.1-pro-preview@Google,1,13,0.615,1.0,0.077,True
large-scale-text-editing__fjPncPW,large-scale-text-editing,openhands,gpt-5@openai,1,24,0.0,0.087,0.125,True
mailman__irimuLH,mailman,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,35,0.4,0.029,0.029,False
build-cython-ext__i6bcNmS,build-cython-ext,claude-code,claude-sonnet-4-5-20250929@anthropic,1,107,0.514,0.019,0.271,True
largest-eigenval__MjUj5Hb,largest-eigenval,codex,gpt-5@openai,0,29,0.069,0.034,0.172,True
fix-ocaml-gc__c3sXNQz,fix-ocaml-gc,terminus-2,gpt-5.1-codex@openai,1,95,0.558,0.011,0.053,True
circuit-fibsqrt__3FEWZxn,circuit-fibsqrt,deepagent-harbor,gpt-5.2-codex@openai,1,20,0.15,0.5,0.1,True
largest-eigenval__rJYG32Z,largest-eigenval,gemini-cli,gemini-2.5-pro@gemini,0,36,0.278,0.5,0.056,True
cancel-async-tasks__y8NGzwL,cancel-async-tasks,terminus-3-3,claude-opus-4-6@anthropic,1,29,0.621,1.0,0.034,True
build-pmars__woDTnQY,build-pmars,codex,gpt-5-mini@openai,1,32,0.312,0.031,0.156,False
fix-code-vulnerability__tfvDyTx,fix-code-vulnerability,gemini-cli,gemini-2.5-flash@gemini,1,12,0.417,0.5,0.167,True
compile-compcert__CxayyJc,compile-compcert,claude-code,claude-opus-4-1-20250805@anthropic,0,214,0.224,0.009,0.491,False
gcode-to-text__T387HDK,gcode-to-text,terminus-3-3,claude-opus-4-6@anthropic,0,25,0.28,1.0,0.04,True
log-summary-date-ranges__MQ2M8PD,log-summary-date-ranges,judy,claude-opus-4.6@anthropic,1,36,0.028,0.036,0.278,False
git-multibranch__oMogycj,git-multibranch,deepagent-harbor,gpt-5.2-codex@openai,1,36,0.111,0.333,0.083,False
crack-7z-hash__X4cK7Hr,crack-7z-hash,mini-swe-agent,gemini-2.5-flash@gemini,0,243,0.029,0.116,0.012,False
break-filter-js-from-html__g75NMFP,break-filter-js-from-html,openhands,claude-sonnet-4-5-20250929@anthropic,1,214,0.033,0.092,0.005,False
fix-ocaml-gc__3fJCvwN,fix-ocaml-gc,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,92,0.207,0.011,0.011,False
compile-compcert__qeLnFSj,compile-compcert,codex,gpt-5@openai,0,71,0.38,0.014,0.042,False
configure-git-webserver__FRoCcoj,configure-git-webserver,terminus-3-3,gemini-3.1-pro-preview@Google,0,12,0.667,1.0,0.083,True
cobol-modernization__PQiCn4n,cobol-modernization,deepagent-harbor,gpt-5.2-codex@openai,1,72,0.028,0.333,0.042,False
large-scale-text-editing__REfApaN,large-scale-text-editing,gemini-cli,gemini-2.5-flash@gemini,0,61,0.0,0.333,0.016,False
build-pmars__yabHjCi,build-pmars,gemini-cli,gemini-2.5-flash@gemini,1,27,0.296,1.0,0.037,True
fix-ocaml-gc__8wgmtVU,fix-ocaml-gc,claude-code,claude-opus-4-1-20250805@anthropic,1,183,0.344,0.011,0.448,False
gcode-to-text__NTqpzjT,gcode-to-text,deepagent-harbor,gpt-5.2-codex@openai,0,35,0.286,0.333,0.086,False
filter-js-from-html__XtgjmUP,filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,12,0.083,0.333,0.25,True
dna-assembly__6x3uPHW,dna-assembly,judy,claude-opus-4.6@anthropic,0,36,0.167,0.053,0.194,False
chess-best-move__cVW7wdZ,chess-best-move,terminus-3-3,claude-opus-4-6@anthropic,1,68,0.221,1.0,0.015,True
extract-moves-from-video__cn7TBsM,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,130,0.215,1.0,0.008,True
circuit-fibsqrt__VhipM2H,circuit-fibsqrt,judy,claude-opus-4.6@anthropic,0,6,0.167,0.25,0.5,True
build-cython-ext__sBP6ZjV,build-cython-ext,codex,gpt-5-mini@openai,1,60,0.383,0.017,0.067,False
cobol-modernization__PjWCUPc,cobol-modernization,judy,claude-opus-4.6@anthropic,1,73,0.041,0.019,0.178,False
extract-elf__t4WT2Dw,extract-elf,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,19,0.158,0.053,0.053,True
git-leak-recovery__m7dFBWy,git-leak-recovery,terminus-2,gpt-5-codex@openai,1,11,0.091,0.091,0.091,True
gpt2-codegolf__Bv2TXKG,gpt2-codegolf,mini-swe-agent,openai/gpt-oss-20b@together_ai,0,8,0.0,0.75,0.875,True
extract-moves-from-video__FgXdyzC,extract-moves-from-video,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,49,0.735,0.021,0.041,True
distribution-search__VhKyS6K,distribution-search,openhands,gpt-5-nano@openai,0,60,0.033,0.133,0.283,False
hf-model-inference__moyPcDk,hf-model-inference,mini-swe-agent,grok-4-0709@xai,1,14,0.143,0.071,0.071,True
feal-linear-cryptanalysis__Hq63qg4,feal-linear-cryptanalysis,openhands,gpt-5-mini@openai,0,50,0.28,0.02,0.02,False
fix-ocaml-gc__wouZCwt,fix-ocaml-gc,terminus-2,claude-haiku-4-5-20251001@anthropic,0,92,0.457,0.011,0.043,False
count-dataset-tokens__qFHun3A,count-dataset-tokens,terminus-2,gemini-3-flash-preview@gemini,1,41,0.293,0.024,0.024,False
distribution-search__RkNgSaB,distribution-search,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,30,0.0,0.033,0.067,False
feal-differential-cryptanalysis__b3YQ6zR,feal-differential-cryptanalysis,openhands,gemini-2.5-pro@gemini,1,56,0.143,0.22,0.018,False
extract-moves-from-video__YkLpHAD,extract-moves-from-video,codex,gpt-5-mini@openai,0,20,0.3,0.05,0.2,True
headless-terminal__jQWQu39,headless-terminal,openhands,gpt-5-nano@openai,0,160,0.113,0.078,0.156,False
adaptive-rejection-sampler__Bg5cXiP,adaptive-rejection-sampler,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,22,0.0,0.591,0.636,True
hf-model-inference__dUV42gB,hf-model-inference,claude-code,claude-opus-4-5-20251101@anthropic,1,31,0.161,0.065,0.419,False
mailman__REexj5v,mailman,openhands,claude-sonnet-4-5-20250929@anthropic,1,116,0.172,0.018,0.009,False
financial-document-processor__yhm9RZt,financial-document-processor,gemini-cli,gemini-2.5-flash@gemini,0,13,0.0,0.2,0.308,True
extract-moves-from-video__MxbHbSi,extract-moves-from-video,claude-code,minimax-m2.1@minimax,0,52,0.308,0.038,0.327,False
gpt2-codegolf__mRrum7b,gpt2-codegolf,claude-code,claude-opus-4-5-20251101@anthropic,0,138,0.283,0.014,0.384,False
code-from-image__nMxxinu,code-from-image,codex,gpt-5-mini@openai,1,7,0.0,0.143,0.714,True
feal-linear-cryptanalysis__quKdZeD,feal-linear-cryptanalysis,mini-swe-agent,gemini-2.5-pro@gemini,0,60,0.033,0.017,0.017,False
filter-js-from-html__3fSyUWg,filter-js-from-html,claude-code,minimax-m2.1@minimax,0,15,0.4,0.133,0.533,True
gpt2-codegolf__T5QaQdQ,gpt2-codegolf,terminus-2,openai/gpt-oss-20b@together_ai,0,181,0.0,0.017,1.0,False
code-from-image__NsVpD8r,code-from-image,claude-code,claude-opus-4-1-20250805@anthropic,1,14,0.071,0.143,0.714,True
headless-terminal__5A9sLRi,headless-terminal,terminus-3-3,claude-opus-4-6@anthropic,1,22,0.455,1.0,0.045,True
extract-elf__qWEgZDP,extract-elf,openhands,claude-opus-4-5-20251101@anthropic,1,23,0.13,0.043,0.043,True
build-pmars__NagoVLj,build-pmars,mini-swe-agent,gemini-2.5-flash@gemini,1,26,0.269,0.038,0.038,True
custom-memory-heap-crash__TMtgd3B,custom-memory-heap-crash,claude-code,claude-sonnet-4-5-20250929@anthropic,1,60,0.4,0.033,0.417,False
fix-code-vulnerability__s6TV4rp,fix-code-vulnerability,codex,gpt-5-nano@openai,0,29,0.276,0.034,0.241,True
git-multibranch__JhrVr93,git-multibranch,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,65,0.015,0.015,0.015,False
log-summary-date-ranges__7y94JdN,log-summary-date-ranges,deepagent-harbor,gpt-5.2-codex@openai,1,8,0.25,0.333,0.375,True
adaptive-rejection-sampler__5wzrbZ5,adaptive-rejection-sampler,gemini-cli,gemini-2.5-pro@gemini,0,32,0.344,0.031,0.062,False
financial-document-processor__HYEVZas,financial-document-processor,terminus-3-3,claude-opus-4-6@anthropic,1,34,0.324,0.5,0.059,True
configure-git-webserver__ndkZpbT,configure-git-webserver,codex,gpt-5-codex@openai,1,37,0.054,0.027,0.081,False
git-leak-recovery__NJzk69s,git-leak-recovery,gemini-cli,gemini-2.5-flash@gemini,1,14,0.214,0.333,0.143,True
build-pov-ray__dvdvo22,build-pov-ray,claude-code,minimax-m2.1@minimax,0,292,0.075,0.007,0.058,False
dna-assembly__VKrXpUN,dna-assembly,terminus-3-3,claude-opus-4-6@anthropic,0,52,0.712,1.0,0.019,True
fix-code-vulnerability__Dkx6R4r,fix-code-vulnerability,judy,claude-opus-4.6@anthropic,1,32,0.125,0.048,0.312,False
financial-document-processor__LNA9ax4,financial-document-processor,deepagent-harbor,gpt-5.2-codex@openai,1,44,0.136,0.333,0.068,False
crack-7z-hash__uPZeBCv,crack-7z-hash,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,159,0.044,0.006,0.006,False
cobol-modernization__862Hccy,cobol-modernization,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,1,214,0.093,0.109,0.005,False
code-from-image__59gcaDX,code-from-image,mini-swe-agent,gpt-5-codex@openai,1,70,0.314,0.014,0.014,False
dna-assembly__psjbd4v,dna-assembly,codex,gpt-5-mini@openai,0,62,0.016,0.016,0.097,False
dna-assembly__HJsMMZY,dna-assembly,terminus-3-3,gemini-3.1-pro-preview@Google,0,19,0.737,1.0,0.053,True
build-cython-ext__QnUMLKo,build-cython-ext,deepagent-harbor,gpt-5.2-codex@openai,1,88,0.25,0.5,0.023,True
fix-ocaml-gc__EE2S8BX,fix-ocaml-gc,gemini-cli,gemini-2.5-flash@gemini,0,129,0.202,0.036,0.016,False
headless-terminal__jDLHsTy,headless-terminal,gemini-cli,gemini-2.5-flash@gemini,1,25,0.12,0.5,0.08,True
git-multibranch__DTrPz3k,git-multibranch,claude-code,claude-haiku-4-5-20251001@anthropic,1,163,0.227,0.012,0.515,False
dna-insert__8aEmvGa,dna-insert,deepagent-harbor,gpt-5.2-codex@openai,0,55,0.145,0.333,0.055,False
caffe-cifar-10__No3ATsh,caffe-cifar-10,deepagent-harbor,gpt-5.2-codex@openai,0,20,0.05,0.333,0.15,True
configure-git-webserver__KfqGfWa,configure-git-webserver,judy,claude-opus-4.6@anthropic,0,50,0.0,0.026,0.24,False
compile-compcert__yd2aQAH,compile-compcert,terminus-3-3,gemini-3.1-pro-preview@Google,1,129,0.209,1.0,0.008,True
install-windows-3.11__HJZB64n,install-windows-3.11,terminus-3-3,claude-opus-4-6@anthropic,0,96,0.198,1.0,0.01,True
gpt2-codegolf__Z3c8Loh,gpt2-codegolf,judy,claude-opus-4.6@anthropic,0,20,0.05,0.333,0.15,True
compile-compcert__6mZHiTD,compile-compcert,codex,gpt-5-codex@openai,1,81,0.247,0.012,0.037,False
chess-best-move__9mKXrC8,chess-best-move,terminus-2,gpt-5.1-codex@openai,0,14,0.5,0.071,0.0,True
git-multibranch__EnKAxbX,git-multibranch,terminus-2,gpt-5.1-codex@openai,1,9,0.333,0.111,0.111,True
git-leak-recovery__FbRmWQQ,git-leak-recovery,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,5,0.0,0.2,0.2,True
compile-compcert__hAwtcLM,compile-compcert,terminus-2,openai/gpt-oss-120b@together_ai,0,25,0.0,0.048,0.2,True
git-multibranch__PCkN8wz,git-multibranch,openhands,gemini-2.5-pro@gemini,0,70,0.043,0.09,0.014,False
git-leak-recovery__BmbaGsM,git-leak-recovery,mini-swe-agent,gpt-5-codex@openai,1,8,0.0,0.125,0.125,True
configure-git-webserver__gm2fX8N,configure-git-webserver,openhands,grok-4-0709@xai,0,56,0.036,0.232,0.286,False
